month,day,hour,base_price_€kWh,final_price_€kWh
1,15,1,0.0999,0.0919
1,15,2,0.0885,0.0977
1,15,3,0.0835,0.0717
1,15,4,0.0894,0.071
1,15,5,0.0979,0.1038
1,15,6,0.1336,0.1418
1,15,7,0.1778,0.1553
1,15,8,0.1102,0.0972
1,15,9,0.0754,0.0798
1,15,10,0.15,0.0957
1,15,11,0.1488,0.0964
1,15,12,0.1487,0.122
1,15,13,0.1459,0.1381
1,15,14,0.0714,0.077
1,15,15,0.0713,0.0976
1,15,16,0.072,0.0874
1,15,17,0.071,0.0681
1,15,18,0.1875,0.1866
1,15,19,0.315,0.236
1,15,20,0.3171,0.3156
1,15,21,0.2898,0.2689
1,15,22,0.2049,0.2215
1,15,23,0.1516,0.1202
1,16,0,0.1205,0.1362
1,16,1,0.0999,0.1382
1,16,2,0.0885,0.0861
1,16,3,0.0835,0.0919
1,16,4,0.0894,0.1048
1,16,5,0.0979,0.088
1,16,6,0.1336,0.1411
1,16,7,0.1778,0.1783
1,16,8,0.1102,0.1129
1,16,9,0.0754,0.0609
1,16,10,0.15,0.1509
1,16,11,0.1488,0.1673
1,16,12,0.1487,0.2026
1,16,13,0.1459,0.1809
1,16,14,0.0714,0.1099
1,16,15,0.0713,0.0576
1,16,16,0.072,0.0877
1,16,17,0.071,0.0742
1,16,18,0.1875,0.2901
1,16,19,0.315,0.2513
1,16,20,0.3171,0.2505
1,16,21,0.2898,0.2464
1,16,22,0.2049,0.0961
1,16,23,0.1516,0.1316
1,17,0,0.1205,0.0976
1,17,1,0.0999,0.1037
1,17,2,0.0885,0.0961
1,17,3,0.0835,0.1227
1,17,4,0.0894,0.1106
1,17,5,0.0979,0.0838
1,17,6,0.1336,0.1036
1,17,7,0.1778,0.1997
1,17,8,0.1102,0.0738
1,17,9,0.0754,0.11
1,17,10,0.15,0.1942
1,17,11,0.1488,0.1314
1,17,12,0.1487,0.085
1,17,13,0.1459,0.1953
1,17,14,0.0714,0.0694
1,17,15,0.0713,0.0934
1,17,16,0.072,0.0433
1,17,17,0.071,0.0603
1,17,18,0.1875,0.1877
1,17,19,0.315,0.3187
1,17,20,0.3171,0.2814
1,17,21,0.2898,0.3349
1,17,22,0.2049,0.1502
1,17,23,0.1516,0.1462
1,18,0,0.1205,0.1241
1,18,1,0.0999,0.1128
1,18,2,0.0885,0.1043
1,18,3,0.0835,0.06
1,18,4,0.0894,0.0551
1,18,5,0.0979,0.1291
1,18,6,0.1336,0.1447
1,18,7,0.1778,0.1445
1,18,8,0.1102,0.1529
1,18,9,0.0754,0.0776
1,18,10,0.15,0.1942
1,18,11,0.1488,0.1513
1,18,12,0.1487,0.2253
1,18,13,0.1459,0.21
1,18,14,0.0714,0.067
1,18,15,0.0713,0.0886
1,18,16,0.072,0.0836
1,18,17,0.071,0.0952
1,18,18,0.1875,0.1422
1,18,19,0.315,0.369
1,18,20,0.3171,0.4009
1,18,21,0.2898,0.1624
1,18,22,0.2049,0.1443
1,18,23,0.1516,0.0743
1,19,0,0.1205,0.1124
1,19,1,0.0999,0.1179
1,19,2,0.0885,0.1218
1,19,3,0.0835,0.085
1,19,4,0.0894,0.1257
1,19,5,0.0979,0.0641
1,19,6,0.1336,0.0767
1,19,7,0.1778,0.1753
1,19,8,0.1102,0.1207
1,19,9,0.0754,0.0748
1,19,10,0.15,0.0725
1,19,11,0.1488,0.1455
1,19,12,0.1487,0.1002
1,19,13,0.1459,0.1704
1,19,14,0.0714,0.078
1,19,15,0.0713,0.0545
1,19,16,0.072,0.0627
1,19,17,0.071,0.0522
1,19,18,0.1875,0.1845
1,19,19,0.315,0.3902
1,19,20,0.3171,0.2389
1,19,21,0.2898,0.3263
1,19,22,0.2049,0.1778
1,19,23,0.1516,0.1215
1,20,0,0.1205,0.1173
1,20,1,0.0999,0.0741
1,20,2,0.0885,0.0763
1,20,3,0.0835,0.0585
1,20,4,0.0894,0.1332
1,20,5,0.0979,0.0987
1,20,6,0.1336,0.1103
1,20,7,0.1778,0.1873
1,20,8,0.1102,0.1071
1,20,9,0.0754,0.0713
1,20,10,0.15,0.173
1,20,11,0.1488,0.177
1,20,12,0.1487,0.129
1,20,13,0.1459,0.1249
1,20,14,0.0714,0.0665
1,20,15,0.0713,0.0303
1,20,16,0.072,0.0447
1,20,17,0.071,0.0952
1,20,18,0.1875,0.2645
1,20,19,0.315,0.2954
1,20,20,0.3171,0.3628
1,20,21,0.2898,0.3124
1,20,22,0.2049,0.3627
1,20,23,0.1516,0.194
1,21,0,0.1205,0.1167
1,21,1,0.0999,0.0761
1,21,2,0.0885,0.053
1,21,3,0.0835,0.0877
1,21,4,0.0894,0.0725
1,21,5,0.0979,0.0631
1,21,6,0.1336,0.112
1,21,7,0.1778,0.1297
1,21,8,0.1102,0.1566
1,21,9,0.0754,0.0921
1,21,10,0.15,0.1497
1,21,11,0.1488,0.2039
1,21,12,0.1487,0.1516
1,21,13,0.1459,0.1145
1,21,14,0.0714,0.0986
1,21,15,0.0713,0.0809
1,21,16,0.072,0.0533
1,21,17,0.071,0.0676
1,21,18,0.1875,0.1464
1,21,19,0.315,0.2061
1,21,20,0.3171,0.3905
1,21,21,0.2898,0.4281
1,21,22,0.2049,0.1333
1,21,23,0.1516,0.1729
1,22,0,0.1205,0.1009
1,22,1,0.0999,0.0878
1,22,2,0.0885,0.0754
1,22,3,0.0835,0.0655
1,22,4,0.0894,0.0904
1,22,5,0.0979,0.0775
1,22,6,0.1336,0.1427
1,22,7,0.1778,0.1756
1,22,8,0.1102,0.1036
1,22,9,0.0754,0.0583
1,22,10,0.15,0.1283
1,22,11,0.1488,0.1769
1,22,12,0.1487,0.1673
1,22,13,0.1459,0.1103
1,22,14,0.0714,0.0732
1,22,15,0.0713,0.0847
1,22,16,0.072,0.0419
1,22,17,0.071,0.0806
1,22,18,0.1875,0.1564
1,22,19,0.315,0.3599
1,22,20,0.3171,0.2566
1,22,21,0.2898,0.159
1,22,22,0.2049,0.1215
1,22,23,0.1516,0.1534
1,23,0,0.1205,0.1283
1,23,1,0.0999,0.0773
1,23,2,0.0885,0.1027
1,23,3,0.0835,0.0488
1,23,4,0.0894,0.0879
1,23,5,0.0979,0.0682
1,23,6,0.1336,0.1119
1,23,7,0.1778,0.1799
1,23,8,0.1102,0.0865
1,23,9,0.0754,0.0682
1,23,10,0.15,0.1877
1,23,11,0.1488,0.1273
1,23,12,0.1487,0.1798
1,23,13,0.1459,0.1047
1,23,14,0.0714,0.0809
1,23,15,0.0713,0.097
1,23,16,0.072,0.0275
1,23,17,0.071,0.0568
1,23,18,0.1875,0.2145
1,23,19,0.315,0.299
1,23,20,0.3171,0.3465
1,23,21,0.2898,0.246
1,23,22,0.2049,0.2094
1,23,23,0.1516,0.1457
1,24,0,0.1205,0.1557
1,24,1,0.0999,0.1063
1,24,2,0.0885,0.096
1,24,3,0.0835,0.0749
1,24,4,0.0894,0.0785
1,24,5,0.0979,0.0873
1,24,6,0.1336,0.1468
1,24,7,0.1778,0.1591
1,24,8,0.1102,0.1182
1,24,9,0.0754,0.1146
1,24,10,0.15,0.1826
1,24,11,0.1488,0.1367
1,24,12,0.1487,0.1933
1,24,13,0.1459,0.131
1,24,14,0.0714,0.035
1,24,15,0.0713,0.0533
1,24,16,0.072,0.0383
1,24,17,0.071,0.0647
1,24,18,0.1875,0.1883
1,24,19,0.315,0.447
1,24,20,0.3171,0.343
1,24,21,0.2898,0.2739
1,24,22,0.2049,0.2474
1,24,23,0.1516,0.0678
1,25,0,0.1205,0.1276
1,25,1,0.0999,0.1192
1,25,2,0.0885,0.0558
1,25,3,0.0835,0.1074
1,25,4,0.0894,0.0969
1,25,5,0.0979,0.0877
1,25,6,0.1336,0.1548
1,25,7,0.1778,0.2787
1,25,8,0.1102,0.1152
1,25,9,0.0754,0.0801
1,25,10,0.15,0.1327
1,25,11,0.1488,0.1172
1,25,12,0.1487,0.1796
1,25,13,0.1459,0.1147
1,25,14,0.0714,0.0727
1,25,15,0.0713,0.0628
1,25,16,0.072,0.0806
1,25,17,0.071,0.0769
1,25,18,0.1875,0.2361
1,25,19,0.315,0.2748
1,25,20,0.3171,0.2957
1,25,21,0.2898,0.2189
1,25,22,0.2049,0.1822
1,25,23,0.1516,0.1659
1,26,0,0.1205,0.1433
1,26,1,0.0999,0.0769
1,26,2,0.0885,0.1078
1,26,3,0.0835,0.1118
1,26,4,0.0894,0.0986
1,26,5,0.0979,0.1438
1,26,6,0.1336,0.1078
1,26,7,0.1778,0.1225
1,26,8,0.1102,0.0612
1,26,9,0.0754,0.1037
1,26,10,0.15,0.1745
1,26,11,0.1488,0.1467
1,26,12,0.1487,0.1591
1,26,13,0.1459,0.1049
1,26,14,0.0714,0.1151
1,26,15,0.0713,0.0736
1,26,16,0.072,0.074
1,26,17,0.071,0.0838
1,26,18,0.1875,0.21
1,26,19,0.315,0.3326
1,26,20,0.3171,0.2544
1,26,21,0.2898,0.324
1,26,22,0.2049,0.3014
1,26,23,0.1516,0.2026
1,27,0,0.1205,0.1685
1,27,1,0.0999,0.0872
1,27,2,0.0885,0.0666
1,27,3,0.0835,0.0809
1,27,4,0.0894,0.0906
1,27,5,0.0979,0.1246
1,27,6,0.1336,0.0771
1,27,7,0.1778,0.2458
1,27,8,0.1102,0.1058
1,27,9,0.0754,0.0674
1,27,10,0.15,0.112
1,27,11,0.1488,0.0872
1,27,12,0.1487,0.1793
1,27,13,0.1459,0.1486
1,27,14,0.0714,0.0484
1,27,15,0.0713,0.0482
1,27,16,0.072,0.0659
1,27,17,0.071,0.1006
1,27,18,0.1875,0.1753
1,27,19,0.315,0.1966
1,27,20,0.3171,0.2976
1,27,21,0.2898,0.27
1,27,22,0.2049,0.0668
1,27,23,0.1516,0.1495
1,28,0,0.1205,0.1136
1,28,1,0.0999,0.1173
1,28,2,0.0885,0.1295
1,28,3,0.0835,0.107
1,28,4,0.0894,0.0833
1,28,5,0.0979,0.0708
1,28,6,0.1336,0.2196
1,28,7,0.1778,0.1804
1,28,8,0.1102,0.1106
1,28,9,0.0754,0.075
1,28,10,0.15,0.1574
1,28,11,0.1488,0.1434
1,28,12,0.1487,0.1274
1,28,13,0.1459,0.126
1,28,14,0.0714,0.0708
1,28,15,0.0713,0.0616
1,28,16,0.072,0.0592
1,28,17,0.071,0.0728
1,28,18,0.1875,0.1755
1,28,19,0.315,0.4334
1,28,20,0.3171,0.1069
1,28,21,0.2898,0.3689
1,28,22,0.2049,0.2688
1,28,23,0.1516,0.073
1,29,0,0.1205,0.1102
1,29,1,0.0999,0.0907
1,29,2,0.0885,0.0574
1,29,3,0.0835,0.0673
1,29,4,0.0894,0.0645
1,29,5,0.0979,0.1407
1,29,6,0.1336,0.1649
1,29,7,0.1778,0.2343
1,29,8,0.1102,0.13
1,29,9,0.0754,0.0541
1,29,10,0.15,0.1303
1,29,11,0.1488,0.167
1,29,12,0.1487,0.1033
1,29,13,0.1459,0.1719
1,29,14,0.0714,0.0671
1,29,15,0.0713,0.0646
1,29,16,0.072,0.0848
1,29,17,0.071,0.0788
1,29,18,0.1875,0.1705
1,29,19,0.315,0.4063
1,29,20,0.3171,0.2314
1,29,21,0.2898,0.3344
1,29,22,0.2049,0.2353
1,29,23,0.1516,0.1398
1,30,0,0.1205,0.1303
1,30,1,0.0999,0.0687
1,30,2,0.0885,0.109
1,30,3,0.0835,0.0796
1,30,4,0.0894,0.0777
1,30,5,0.0979,0.1235
1,30,6,0.1336,0.1101
1,30,7,0.1778,0.1152
1,30,8,0.1102,0.0673
1,30,9,0.0754,0.0869
1,30,10,0.15,0.102
1,30,11,0.1488,0.2141
1,30,12,0.1487,0.0713
1,30,13,0.1459,0.2078
1,30,14,0.0714,0.0752
1,30,15,0.0713,0.0696
1,30,16,0.072,0.0622
1,30,17,0.071,0.078
1,30,18,0.1875,0.1857
1,30,19,0.315,0.4019
1,30,20,0.3171,0.3261
1,30,21,0.2898,0.3007
1,30,22,0.2049,0.1863
1,30,23,0.1516,0.1494
1,31,0,0.1205,0.1298
1,31,1,0.0999,0.0572
1,31,2,0.0885,0.0587
1,31,3,0.0835,0.099
1,31,4,0.0894,0.0932
1,31,5,0.0979,0.0934
1,31,6,0.1336,0.1342
1,31,7,0.1778,0.1932
1,31,8,0.1102,0.0953
1,31,9,0.0754,0.0608
1,31,10,0.15,0.1573
1,31,11,0.1488,0.1124
1,31,12,0.1487,0.1639
1,31,13,0.1459,0.0838
1,31,14,0.0714,0.0898
1,31,15,0.0713,0.0797
1,31,16,0.072,0.0766
1,31,17,0.071,0.0884
1,31,18,0.1875,0.2655
1,31,19,0.315,0.3949
1,31,20,0.3171,0.1711
1,31,21,0.2898,0.1971
1,31,22,0.2049,0.1729
1,31,23,0.1516,0.1526
2,1,0,0.1153,0.1302
2,1,1,0.0956,0.0782
2,1,2,0.0847,0.0887
2,1,3,0.0799,0.0648
2,1,4,0.0855,0.0724
2,1,5,0.0936,0.0607
2,1,6,0.1278,0.0983
2,1,7,0.1701,0.1126
2,1,8,0.1054,0.0797
2,1,9,0.0722,0.0912
2,1,10,0.1434,0.1094
2,1,11,0.1423,0.236
2,1,12,0.1422,0.1598
2,1,13,0.1396,0.146
2,1,14,0.0683,0.0537
2,1,15,0.0682,0.0801
2,1,16,0.0689,0.059
2,1,17,0.0679,0.0699
2,1,18,0.1793,0.2941
2,1,19,0.3013,0.2941
2,1,20,0.3033,0.3904
2,1,21,0.2772,0.2285
2,1,22,0.196,0.1943
2,1,23,0.145,0.2092
2,2,0,0.1153,0.0972
2,2,1,0.0956,0.1389
2,2,2,0.0847,0.0997
2,2,3,0.0799,0.0686
2,2,4,0.0855,0.099
2,2,5,0.0936,0.1164
2,2,6,0.1278,0.1477
2,2,7,0.1701,0.1033
2,2,8,0.1054,0.0862
2,2,9,0.0722,0.0677
2,2,10,0.1434,0.1408
2,2,11,0.1423,0.1644
2,2,12,0.1422,0.1485
2,2,13,0.1396,0.093
2,2,14,0.0683,0.0748
2,2,15,0.0682,0.0786
2,2,16,0.0689,0.0785
2,2,17,0.0679,0.0862
2,2,18,0.1793,0.2167
2,2,19,0.3013,0.3359
2,2,20,0.3033,0.298
2,2,21,0.2772,0.1621
2,2,22,0.196,0.2171
2,2,23,0.145,0.1525
2,3,0,0.1153,0.1231
2,3,1,0.0956,0.0651
2,3,2,0.0847,0.0618
2,3,3,0.0799,0.1009
2,3,4,0.0855,0.0846
2,3,5,0.0936,0.1096
2,3,6,0.1278,0.1287
2,3,7,0.1701,0.1713
2,3,8,0.1054,0.1301
2,3,9,0.0722,0.0629
2,3,10,0.1434,0.1469
2,3,11,0.1423,0.1259
2,3,12,0.1422,0.1268
2,3,13,0.1396,0.1288
2,3,14,0.0683,0.0721
2,3,15,0.0682,0.06
2,3,16,0.0689,0.0905
2,3,17,0.0679,0.0527
2,3,18,0.1793,0.1709
2,3,19,0.3013,0.2682
2,3,20,0.3033,0.413
2,3,21,0.2772,0.2908
2,3,22,0.196,0.2466
2,3,23,0.145,0.0911
2,4,0,0.1153,0.123
2,4,1,0.0956,0.1168
2,4,2,0.0847,0.0864
2,4,3,0.0799,0.1011
2,4,4,0.0855,0.0744
2,4,5,0.0936,0.1266
2,4,6,0.1278,0.2013
2,4,7,0.1701,0.1546
2,4,8,0.1054,0.0936
2,4,9,0.0722,0.0984
2,4,10,0.1434,0.2001
2,4,11,0.1423,0.1237
2,4,12,0.1422,0.1273
2,4,13,0.1396,0.1298
2,4,14,0.0683,0.0454
2,4,15,0.0682,0.0525
2,4,16,0.0689,0.0516
2,4,17,0.0679,0.0548
2,4,18,0.1793,0.1777
2,4,19,0.3013,0.3189
2,4,20,0.3033,0.4208
2,4,21,0.2772,0.208
2,4,22,0.196,0.2443
2,4,23,0.145,0.1372
2,5,0,0.1153,0.1139
2,5,1,0.0956,0.1117
2,5,2,0.0847,0.0609
2,5,3,0.0799,0.0875
2,5,4,0.0855,0.089
2,5,5,0.0936,0.1051
2,5,6,0.1278,0.1371
2,5,7,0.1701,0.2744
2,5,8,0.1054,0.0886
2,5,9,0.0722,0.0626
2,5,10,0.1434,0.1211
2,5,11,0.1423,0.1226
2,5,12,0.1422,0.1196
2,5,13,0.1396,0.1811
2,5,14,0.0683,0.0926
2,5,15,0.0682,0.0585
2,5,16,0.0689,0.0545
2,5,17,0.0679,0.0759
2,5,18,0.1793,0.1545
2,5,19,0.3013,0.349
2,5,20,0.3033,0.3187
2,5,21,0.2772,0.1722
2,5,22,0.196,0.2719
2,5,23,0.145,0.2101
2,6,0,0.1153,0.0976
2,6,1,0.0956,0.0863
2,6,2,0.0847,0.0908
2,6,3,0.0799,0.0865
2,6,4,0.0855,0.0995
2,6,5,0.0936,0.1407
2,6,6,0.1278,0.1222
2,6,7,0.1701,0.1361
2,6,8,0.1054,0.069
2,6,9,0.0722,0.059
2,6,10,0.1434,0.1423
2,6,11,0.1423,0.2062
2,6,12,0.1422,0.1238
2,6,13,0.1396,0.1474
2,6,14,0.0683,0.068
2,6,15,0.0682,0.0885
2,6,16,0.0689,0.1124
2,6,17,0.0679,0.0589
2,6,18,0.1793,0.1574
2,6,19,0.3013,0.3799
2,6,20,0.3033,0.355
2,6,21,0.2772,0.4052
