month,day,hour,precipitation_mm,water_input_m3
1,24,23,0.04,9891
1,25,0,0.1,23419
1,25,1,0.07,15827
1,25,2,0.02,5577
1,25,3,0.03,5688
1,25,4,0.01,2399
1,25,5,0.0,991
1,25,6,0.03,7685
1,25,7,0.12,27737
1,25,8,0.16,36996
1,25,9,0.25,56374
1,25,10,0.17,39154
1,25,11,0.12,27868
1,25,12,0.14,32049
1,25,13,0.08,17383
1,25,14,0.08,18010
1,25,15,0.05,11685
1,25,16,0.04,9906
1,25,17,0.06,14377
1,25,18,0.12,27853
1,25,19,0.14,30875
1,25,20,0.13,28874
1,25,21,0.07,16705
1,25,22,0.05,11796
1,25,23,0.11,24203
1,26,0,0.12,26302
1,26,1,0.05,10211
1,26,2,0.05,10770
1,26,3,0.03,5922
1,26,4,0.01,2440
1,26,5,0.01,1625
1,26,6,0.02,5351
1,26,7,0.05,12188
1,26,8,0.09,19651
1,26,9,0.32,72933
1,26,10,0.23,51470
1,26,11,0.16,34895
1,26,12,0.13,28398
1,26,13,0.07,15894
1,26,14,0.13,28512
1,26,15,0.06,13699
1,26,16,0.04,9089
1,26,17,0.07,15678
1,26,18,0.11,24776
1,26,19,0.17,37367
1,26,20,0.11,24844
1,26,21,0.11,24724
1,26,22,0.09,19514
1,26,23,0.13,29556
1,27,0,0.14,30926
1,27,1,0.05,11574
1,27,2,0.03,6658
1,27,3,0.02,4284
1,27,4,0.01,2242
1,27,5,0.01,1408
1,27,6,0.02,3828
1,27,7,0.11,24459
1,27,8,0.15,33989
1,27,9,0.21,47415
1,27,10,0.15,33041
1,27,11,0.09,20747
1,27,12,0.14,32002
1,27,13,0.1,22522
1,27,14,0.05,11987
1,27,15,0.04,8974
1,27,16,0.04,8104
1,27,17,0.08,18807
1,27,18,0.09,20681
1,27,19,0.1,22089
1,27,20,0.13,29061
1,27,21,0.09,20609
1,27,22,0.02,4323
1,27,23,0.1,21817
1,28,0,0.09,20840
1,28,1,0.07,15580
1,28,2,0.06,12936
1,28,3,0.03,5669
1,28,4,0.01,2063
1,28,5,0.0,800
1,28,6,0.05,10904
1,28,7,0.08,17955
1,28,8,0.16,35510
1,28,9,0.23,52760
1,28,10,0.21,46424
1,28,11,0.15,34110
1,28,12,0.1,22734
1,28,13,0.08,19093
1,28,14,0.08,17548
1,28,15,0.05,11467
1,28,16,0.03,7270
1,28,17,0.06,13623
1,28,18,0.09,20707
1,28,19,0.22,48692
1,28,20,0.05,10443
1,28,21,0.13,28152
1,28,22,0.08,17404
1,28,23,0.05,10653
1,29,0,0.09,20222
1,29,1,0.05,12038
1,29,2,0.03,5734
1,29,3,0.02,3563
1,29,4,0.01,1598
1,29,5,0.01,1590
1,29,6,0.04,8187
1,29,7,0.1,23318
1,29,8,0.19,41771
1,29,9,0.17,38098
1,29,10,0.17,38433
1,29,11,0.18,39716
1,29,12,0.08,18431
1,29,13,0.12,26059
1,29,14,0.07,16630
1,29,15,0.05,12027
1,29,16,0.05,10419
1,29,17,0.07,14744
1,29,18,0.09,20121
1,29,19,0.2,45643
1,29,20,0.1,22595
1,29,21,0.11,25522
1,29,22,0.07,15238
1,29,23,0.09,20405
1,30,0,0.11,23920
1,30,1,0.04,9119
1,30,2,0.05,10890
1,30,3,0.02,4219
1,30,4,0.01,1923
1,30,5,0.01,1396
1,30,6,0.02,5467
1,30,7,0.05,11463
1,30,8,0.1,21616
1,30,9,0.27,61122
1,30,10,0.13,30074
1,30,11,0.23,50911
1,30,12,0.06,12726
1,30,13,0.14,31497
1,30,14,0.08,18627
1,30,15,0.06,12949
1,30,16,0.03,7642
1,30,17,0.06,14594
1,30,18,0.1,21909
1,30,19,0.2,45147
1,30,20,0.14,31848
1,30,21,0.1,22948
1,30,22,0.05,12064
1,30,23,0.1,21802
1,31,0,0.11,23819
1,31,1,0.03,7597
1,31,2,0.03,5865
1,31,3,0.02,5245
1,31,4,0.01,2306
1,31,5,0.0,1055
1,31,6,0.03,6666
1,31,7,0.09,19231
1,31,8,0.14,30612
1,31,9,0.19,42752
1,31,10,0.21,46399
1,31,11,0.12,26731
1,31,12,0.13,29249
1,31,13,0.06,12703
1,31,14,0.1,22246
1,31,15,0.07,14838
1,31,16,0.04,9413
1,31,17,0.07,16530
1,31,18,0.14,31325
1,31,19,0.2,44361
1,31,20,0.07,16713
1,31,21,0.07,15042
1,31,22,0.05,11197
1,31,23,0.1,22261
2,1,0,0.1,21904
2,1,1,0.04,9525
2,1,2,0.04,8120
2,1,3,0.01,3146
2,1,4,0.01,1643
2,1,5,0.0,629
2,1,6,0.02,4475
2,1,7,0.05,10272
2,1,8,0.1,23460
2,1,9,0.26,58806
2,1,10,0.13,29582
2,1,11,0.23,51452
2,1,12,0.12,26143
2,1,13,0.09,20290
2,1,14,0.05,12186
2,1,15,0.06,13674
2,1,16,0.03,6641
2,1,17,0.05,11991
2,1,18,0.14,31807
2,1,19,0.13,30285
2,1,20,0.16,34953
2,1,21,0.07,15985
2,1,22,0.05,11535
2,1,23,0.12,27980
2,2,0,0.07,16354
2,2,1,0.08,16909
2,2,2,0.04,9130
2,2,3,0.01,3333
2,2,4,0.01,2246
2,2,5,0.01,1205
2,2,6,0.03,6723
2,2,7,0.04,9425
2,2,8,0.11,25390
2,2,9,0.19,43666
2,2,10,0.17,38066
2,2,11,0.16,35845
2,2,12,0.11,24307
2,2,13,0.06,12920
2,2,14,0.08,16990
2,2,15,0.06,13413
2,2,16,0.04,8843
2,2,17,0.07,14781
2,2,18,0.1,23437
2,2,19,0.15,34593
2,2,20,0.12,26675
2,2,21,0.05,11341
2,2,22,0.06,12886
2,2,23,0.09,20401
2,3,0,0.09,20711
2,3,1,0.04,7922
2,3,2,0.03,5661
2,3,3,0.02,4900
2,3,4,0.01,1920
2,3,5,0.01,1135
2,3,6,0.03,5859
2,3,7,0.07,15631
2,3,8,0.17,38309
2,3,9,0.18,40541
2,3,10,0.18,39720
2,3,11,0.12,27444
2,3,12,0.09,20745
2,3,13,0.08,17895
2,3,14,0.07,16377
2,3,15,0.05,10244
2,3,16,0.05,10193
2,3,17,0.04,9034
2,3,18,0.08,18488
2,3,19,0.12,27619
2,3,20,0.16,36974
2,3,21,0.09,20347
2,3,22,0.07,14638
2,3,23,0.05,12191
2,4,0,0.09,20689
2,4,1,0.06,14224
2,4,2,0.04,7917
2,4,3,0.02,4912
2,4,4,0.01,1689
2,4,5,0.01,1311
2,4,6,0.04,9162
2,4,7,0.06,14108
2,4,8,0.12,27574
2,4,9,0.28,63458
2,4,10,0.24,54105
2,4,11,0.12,26974
2,4,12,0.09,20828
2,4,13,0.08,18028
2,4,14,0.05,10300
2,4,15,0.04,8964
2,4,16,0.03,5810
2,4,17,0.04,9403
2,4,18,0.09,19226
2,4,19,0.15,32847
2,4,20,0.17,37676
2,4,21,0.06,14554
2,4,22,0.06,14500
2,4,23,0.08,18357
2,5,0,0.09,19154
2,5,1,0.06,13600
2,5,2,0.02,5580
2,5,3,0.02,4250
2,5,4,0.01,2020
2,5,5,0.0,1089
2,5,6,0.03,6239
2,5,7,0.11,25039
2,5,8,0.12,26083
2,5,9,0.18,40367
2,5,10,0.15,32746
2,5,11,0.12,26721
2,5,12,0.09,19564
2,5,13,0.11,25159
2,5,14,0.09,21025
2,5,15,0.04,9976
2,5,16,0.03,6143
2,5,17,0.06,13008
2,5,18,0.07,16717
2,5,19,0.16,35941
2,5,20,0.13,28529
2,5,21,0.05,12045
2,5,22,0.07,16138
2,5,23,0.12,28101
2,6,0,0.07,16423
2,6,1,0.05,10509
2,6,2,0.04,8312
2,6,3,0.02,4203
2,6,4,0.01,2259
2,6,5,0.01,1457
2,6,6,0.02,5561
2,6,7,0.06,12419
2,6,8,0.09,20330
2,6,9,0.17,38040
2,6,10,0.17,38467
2,6,11,0.2,44952
2,6,12,0.09,20261
2,6,13,0.09,20479
2,6,14,0.07,15452
2,6,15,0.07,15094
2,6,16,0.06,12658
2,6,17,0.04,10092
2,6,18,0.08,17021
2,6,19,0.17,39131
2,6,20,0.14,31780
2,6,21,0.13,28348
2,6,22,0.06,13335
2,6,23,0.08,17652
2,7,0,0.1,22258
2,7,1,0.07,14862
2,7,2,0.04,9349
2,7,3,0.02,4371
2,7,4,0.01,2457
2,7,5,0.01,1253
2,7,6,0.03,7829
2,7,7,0.08,18031
2,7,8,0.13,29734
2,7,9,0.21,48253
2,7,10,0.22,50488
2,7,11,0.11,24693
2,7,12,0.11,25418
2,7,13,0.08,17487
2,7,14,0.07,15627
2,7,15,0.07,15356
2,7,16,0.04,8128
2,7,17,0.05,11772
2,7,18,0.06,12801
2,7,19,0.16,36820
2,7,20,0.14,31533
2,7,21,0.13,29883
2,7,22,0.05,10741
2,7,23,0.09,20457
2,8,0,0.09,20603
2,8,1,0.07,16225
2,8,2,0.03,7573
2,8,3,0.02,4149
2,8,4,0.01,2234
2,8,5,0.0,1015
2,8,6,0.02,5169
2,8,7,0.07,16268
2,8,8,0.17,39359
2,8,9,0.15,34601
2,8,10,0.18,40078
2,8,11,0.11,25599
2,8,12,0.13,30226
2,8,13,0.05,12009
2,8,14,0.06,13347
2,8,15,0.06,12734
2,8,16,0.05,10794
2,8,17,0.05,11445
2,8,18,0.07,16702
2,8,19,0.2,45624
2,8,20,0.08,17323
2,8,21,0.04,8733
2,8,22,0.06,12916
2,8,23,0.08,16960
2,9,0,0.06,14443
2,9,1,0.06,13697
2,9,2,0.04,8230
2,9,3,0.01,3332
2,9,4,0.01,1319
2,9,5,0.01,1181
2,9,6,0.03,6764
2,9,7,0.07,15131
2,9,8,0.2,45356
2,9,9,0.15,34094
2,9,10,0.11,23995
2,9,11,0.11,25663
2,9,12,0.1,23008
2,9,13,0.09,20574
2,9,14,0.06,14580
2,9,15,0.06,12661
2,9,16,0.02,5330
2,9,17,0.07,15837
2,9,18,0.08,18996
2,9,19,0.18,39698
2,9,20,0.13,29478
2,9,21,0.1,21609
2,9,22,0.06,13294
2,9,23,0.1,21565
2,10,0,0.1,22510
2,10,1,0.07,15503
2,10,2,0.04,8139
2,10,3,0.02,4566
2,10,4,0.01,1896
2,10,5,0.01,1319
2,10,6,0.02,4834
2,10,7,0.1,22501
2,10,8,0.14,30719
2,10,9,0.13,29897
2,10,10,0.18,40030
2,10,11,0.11,25747
2,10,12,0.13,28164
2,10,13,0.07,16230
2,10,14,0.06,13785
2,10,15,0.03,6140
2,10,16,0.03,6880
2,10,17,0.02,4585
2,10,18,0.05,11714
2,10,19,0.16,36930
2,10,20,0.14,32486
2,10,21,0.1,21457
2,10,22,0.04,8823
2,10,23,0.09,19163
2,11,0,0.09,19377
2,11,1,0.04,8267
2,11,2,0.05,10673
2,11,3,0.02,4730
2,11,4,0.01,1832
2,11,5,0.0,976
2,11,6,0.03,6121
2,11,7,0.03,7596
2,11,8,0.13,29113
2,11,9,0.17,38610
2,11,10,0.13,29075
2,11,11,0.13,28850
2,11,12,0.15,33732
2,11,13,0.1,22501
2,11,14,0.06,13300
2,11,15,0.06,13302
2,11,16,0.05,10472
2,11,17,0.06,14326
2,11,18,0.09,19683
2,11,19,0.12,26012
2,11,20,0.14,31891
2,11,21,0.09,21302
2,11,22,0.06,14241
2,11,23,0.1,22474
2,12,0,0.11,24483
2,12,1,0.04,10079
2,12,2,0.05,10313
2,12,3,0.02,4070
2,12,4,0.01,2946
2,12,5,0.0,803
2,12,6,0.04,8343
2,12,7,0.07,16283
2,12,8,0.12,25977
2,12,9,0.18,40915
2,12,10,0.16,35682
2,12,11,0.15,34321
2,12,12,0.12,26315
2,12,13,0.07,16612
2,12,14,0.07,15421
2,12,15,0.08,17869
2,12,16,0.05,11108
2,12,17,0.06,12906
2,12,18,0.09,19578
2,12,19,0.14,31962
2,12,20,0.14,31316
2,12,21,0.06,14435
2,12,22,0.05,10888
2,12,23,0.05,11304
2,13,0,0.09,21330
2,13,1,0.06,13519
2,13,2,0.03,6821
2,13,3,0.02,5405
2,13,4,0.01,1345
2,13,5,0.0,615
2,13,6,0.03,6145
2,13,7,0.09,19577
2,13,8,0.2,44094
2,13,9,0.18,41206
2,13,10,0.22,49248
2,13,11,0.14,30732
2,13,12,0.1,22268
2,13,13,0.11,23678
2,13,14,0.08,18045
2,13,15,0.03,7051
2,13,16,0.05,10621
2,13,17,0.07,15651
2,13,18,0.07,16361
2,13,19,0.15,34101
2,13,20,0.14,30505
2,13,21,0.09,20658
2,13,22,0.04,10036
2,13,23,0.07,16138
2,14,0,0.09,19270
2,14,1,0.07,15048
2,14,2,0.04,8812
2,14,3,0.02,3519
2,14,4,0.01,2314
2,14,5,0.0,279
2,14,6,0.03,7489
2,14,7,0.04,8767
2,14,8,0.13,28219
2,14,9,0.15,33517
2,14,10,0.12,26234
2,14,11,0.18,40036
2,14,12,0.09,20552
2,14,13,0.09,21074
2,14,14,0.07,15333
2,14,15,0.06,13024
2,14,16,0.04,7907
2,14,17,0.04,7904
